nohup: ignoring input
🚀 系统监控Agent启动！准备建立数据库连接池...
✅ 数据库网络打通！准备开启 5 秒级轮询上报...
==================================================
✅ 识别到本机的物理核载名: xiu-virtual-machine
[20:02:42] 📡 成功上报 -> 内存: 45.45% | CPU: 0.51%
[20:02:47] 📡 成功上报 -> 内存: 45.45% | CPU: 0.51%
[20:02:52] 📡 成功上报 -> 内存: 45.44% | CPU: 0.51%
[20:02:57] 📡 成功上报 -> 内存: 45.44% | CPU: 0.51%
[20:03:02] 📡 成功上报 -> 内存: 45.44% | CPU: 0.51%
[20:03:07] 📡 成功上报 -> 内存: 45.44% | CPU: 0.00%
[20:03:12] 📡 成功上报 -> 内存: 45.44% | CPU: 0.51%
[20:03:17] 📡 成功上报 -> 内存: 45.44% | CPU: 0.51%
[20:03:22] 📡 成功上报 -> 内存: 45.44% | CPU: 0.00%
[20:03:27] 📡 成功上报 -> 内存: 45.44% | CPU: 0.51%
[20:03:32] 📡 成功上报 -> 内存: 45.44% | CPU: 0.51%
[20:03:37] 📡 成功上报 -> 内存: 45.44% | CPU: 0.51%
[20:03:42] 📡 成功上报 -> 内存: 45.43% | CPU: 0.00%
[20:03:47] 📡 成功上报 -> 内存: 45.43% | CPU: 0.51%
[20:03:52] 📡 成功上报 -> 内存: 45.43% | CPU: 0.51%
[20:03:57] 📡 成功上报 -> 内存: 45.43% | CPU: 0.51%
[20:04:02] 📡 成功上报 -> 内存: 45.42% | CPU: 0.00%
[20:04:07] 📡 成功上报 -> 内存: 45.42% | CPU: 0.00%
[20:04:12] 📡 成功上报 -> 内存: 45.42% | CPU: 0.51%
[20:04:17] 📡 成功上报 -> 内存: 45.42% | CPU: 0.51%
[20:04:22] 📡 成功上报 -> 内存: 45.41% | CPU: 1.02%
[20:04:27] 📡 成功上报 -> 内存: 45.41% | CPU: 0.51%
[20:04:32] 📡 成功上报 -> 内存: 45.41% | CPU: 0.00%
[20:04:37] 📡 成功上报 -> 内存: 45.41% | CPU: 0.00%
[20:04:42] 📡 成功上报 -> 内存: 45.41% | CPU: 0.00%
[20:04:47] 📡 成功上报 -> 内存: 45.41% | CPU: 0.51%
[20:04:52] 📡 成功上报 -> 内存: 45.41% | CPU: 0.00%
[20:04:57] 📡 成功上报 -> 内存: 45.41% | CPU: 0.00%
[20:05:02] 📡 成功上报 -> 内存: 45.41% | CPU: 0.51%
[20:05:07] 📡 成功上报 -> 内存: 45.40% | CPU: 2.56%
[20:05:12] 📡 成功上报 -> 内存: 45.43% | CPU: 0.51%
[20:05:17] 📡 成功上报 -> 内存: 45.43% | CPU: 0.51%
[20:05:22] 📡 成功上报 -> 内存: 45.42% | CPU: 1.03%
[20:05:27] 📡 成功上报 -> 内存: 45.42% | CPU: 0.51%
[20:05:32] 📡 成功上报 -> 内存: 45.42% | CPU: 1.02%
[20:05:37] 📡 成功上报 -> 内存: 45.42% | CPU: 0.51%
[20:05:42] 📡 成功上报 -> 内存: 45.41% | CPU: 1.03%
[20:05:47] 📡 成功上报 -> 内存: 45.41% | CPU: 1.02%
[20:05:52] 📡 成功上报 -> 内存: 45.41% | CPU: 1.02%
[20:05:57] 📡 成功上报 -> 内存: 45.40% | CPU: 1.52%
[20:06:02] 📡 成功上报 -> 内存: 45.41% | CPU: 0.51%
[20:06:07] 📡 成功上报 -> 内存: 45.41% | CPU: 1.02%
[20:06:12] 📡 成功上报 -> 内存: 45.40% | CPU: 1.01%
